ProductModelID	Name	CatalogDescription	rowguid	ModifiedDate
1	Classic Vest	NULL	29321D47-1E4C-4AAC-887C-19634328C25E	2003-06-01 00:00:00.000
2	Cycling Cap	NULL	474FB654-3C96-4CB9-82DF-2152EEFFBDB0	2001-06-01 00:00:00.000
3	Full-Finger Gloves	NULL	A75483FE-3C47-4AA4-93CF-664B51192987	2002-06-01 00:00:00.000
4	Half-Finger Gloves	NULL	14B56F2A-D4AA-40A4-B9A2-984F165ED702	2002-06-01 00:00:00.000
5	HL Mountain Frame	NULL	FDD5407B-C2DB-49D1-A86B-C13A2E3582A2	2001-06-01 00:00:00.000
6	HL Road Frame	NULL	4D332ECC-48B3-4E04-B7E7-227F3AC2A7EC	1998-05-02 00:00:00.000
7	HL Touring Frame	NULL	D60ED2A5-C100-4C54-89A1-531404C4A20F	2005-05-16 16:34:28.980
8	LL Mountain Frame	NULL	65BF3F6D-BCF2-4DB6-8515-FC5C57423037	2002-11-20 09:56:38.273
9	LL Road Frame	NULL	DDC67A2F-024A-4446-9B54-3C679BABA708	2001-06-01 00:00:00.000
10	LL Touring Frame	NULL	66C63844-2A24-473C-96D5-D3B3FD57D834	2005-05-16 16:34:28.980
11	Long-Sleeve Logo Jersey	NULL	20EFE3F1-A2F8-4DDE-B74B-18265F61F863	2001-06-01 00:00:00.000
12	Men's Bib-Shorts	NULL	219E2F87-26A9-483B-B968-04578E943096	2002-06-01 00:00:00.000
13	Men's Sports Shorts	NULL	45FE0D77-6645-473C-A116-1232BAEA8D43	2002-06-01 00:00:00.000
14	ML Mountain Frame	NULL	0D48C51D-7603-4010-9265-0491805BB010	2002-06-01 00:00:00.000
15	ML Mountain Frame-W	NULL	AA77697C-6D1C-48F1-845C-3CB089498715	2002-06-01 00:00:00.000
16	ML Road Frame	NULL	3494E8FF-7DAF-4860-ABF6-97842048E272	2001-06-01 00:00:00.000
17	ML Road Frame-W	NULL	CA18ECFD-2023-4FA7-A556-0321153BCA34	2002-06-01 00:00:00.000
18	Mountain Bike Socks	NULL	36B1A76A-DFF3-4A55-86F9-65EB1CB18D7B	2001-06-01 00:00:00.000
19	Mountain-100	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	FCA0665B-B956-489A-A5EC-6F0B4AA14D02	2001-06-01 00:00:00.000
20	Mountain-200	NULL	3B78EDFF-2AA9-4AC1-8C3D-94090B5F53A9	2002-06-01 00:00:00.000
21	Mountain-300	NULL	ECDDD0D7-2DB2-464D-B2DA-89BFFC6276AA	2002-06-01 00:00:00.000
22	Mountain-400-W	NULL	6D2FCCE4-FFCE-4662-A3F8-5D18F0EEDCD8	2003-06-01 00:00:00.000
23	Mountain-500	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	866DBAD3-5999-4329-BEAC-D826D959D9A1	2002-11-20 09:56:38.273
24	Racing Socks	NULL	BD8BA6F8-7E16-4FA3-B3B3-2036DD4A2AE0	2003-06-01 00:00:00.000
25	Road-150	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	94FFB702-0CBC-4E3F-B840-C51F0D11C8F6	2001-06-01 00:00:00.000
26	Road-250	NULL	3770C5E3-8DC9-43C7-B735-7AFF21645D96	2002-06-01 00:00:00.000
27	Road-350-W	NULL	DFE49035-7720-4FF4-B28B-16250EE46259	2003-06-01 00:00:00.000
28	Road-450	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	8456BB94-B4DD-4A47-A76B-D0E54AB4285D	2001-06-01 00:00:00.000
29	Road-550-W	NULL	F85F84F2-9CE0-4ECC-9C29-E78021FFC877	2002-06-01 00:00:00.000
30	Road-650	NULL	42E1C597-6DD9-4071-B1A5-1DC5CDCBDBCA	2001-06-01 00:00:00.000
31	Road-750	NULL	2BF795F4-2666-4691-AF14-D490C7334A8A	2002-11-20 09:56:38.273
32	Short-Sleeve Classic Jersey	NULL	6BECCF2D-EACD-496B-995B-D692567565CD	2003-06-01 00:00:00.000
33	Sport-100	NULL	47F7C450-D16A-4CEA-BE6E-2D6C8C8F81EE	2001-06-01 00:00:00.000
34	Touring-1000	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	52E7F2C1-DBFF-4518-927D-C7D46F9ED32E	2002-11-20 09:56:38.273
35	Touring-2000	<?xml-stylesheet href="ProductDescription.xsl" type="text/xsl"?><p1:ProductDescription xmlns:p1="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription" xmlns:wm="http://schemas.microsoft.com/sqlserver/2004/07/adventure-work	AA10D9E6-E33F-4DA8-ACE1-992FCD6BB171	2002-11-20 09:56:38.273
36	Touring-3000	NULL	F5A6EC78-4451-45DB-955F-DB197DE8B059	2002-11-20 09:56:38.273
37	Women's Mountain Shorts	NULL	A08DD61A-6155-4051-9A11-223232EA51CD	2003-06-01 00:00:00.000
38	Women's Tights	NULL	A96FF80D-D52A-432F-9701-731BEF16EFCC	2002-06-01 00:00:00.000
39	Mountain-400	NULL	37D261A7-00CF-4880-AC1A-533B6B4365B0	2001-06-01 00:00:00.000
40	Road-550	NULL	30450264-4AB8-45E0-8BB5-4D407EA2950A	2002-06-01 00:00:00.000
41	Road-350	NULL	D71BD21C-239E-4C2B-98A3-101962D6B2D3	2002-11-20 09:56:38.273
42	LL Mountain Front Wheel	NULL	AA977B32-ACD8-4C53-A560-88A02AC1954D	2002-11-20 09:56:38.273
43	Touring Rear Wheel	NULL	E878FCAA-61CC-4014-988A-51F52643F7AA	2005-05-16 16:34:28.997
44	Touring Front Wheel	NULL	6DA78798-3793-4B8E-829E-DBA9D140B1D4	2005-05-16 16:34:28.997
45	ML Mountain Front Wheel	NULL	C3FF3F93-60A8-4957-B076-B7D0984EE70F	2002-06-01 00:00:00.000
46	HL Mountain Front Wheel	NULL	CCA597FB-195F-4EC5-BF5C-15B98D176F4C	2002-06-01 00:00:00.000
47	LL Touring Handlebars	NULL	84138622-1EA6-489F-9C98-6E3924CFBAC0	2005-05-16 16:34:29.010
48	HL Touring Handlebars	NULL	9DA82E49-80AD-4918-9A54-31F4B0C8EABB	2005-05-16 16:34:29.027
49	LL Road Front Wheel	NULL	90F759C1-2073-4D9F-854B-C6B6F3BF9162	2002-06-01 00:00:00.000
50	ML Road Front Wheel	NULL	980C8CD0-4903-41F2-9FFC-773C7FE4C254	2002-06-01 00:00:00.000
51	HL Road Front Wheel	NULL	02A562E2-4DFA-4778-BBAC-BBDDCECF99B0	2002-06-01 00:00:00.000
52	LL Mountain Handlebars	NULL	699C2AC5-5406-46D2-863D-DCFB23FC7943	2002-06-01 00:00:00.000
53	Touring Pedal	NULL	B98A3207-56FC-405C-A040-3C7A90CC7890	2005-05-16 16:34:29.027
54	ML Mountain Handlebars	NULL	C9FCC804-2CD7-4B8A-B186-9C409CC19DF9	2002-06-01 00:00:00.000
55	HL Mountain Handlebars	NULL	782C991B-A660-4561-A3F4-9BBD74259747	2002-06-01 00:00:00.000
56	LL Road Handlebars	NULL	A7E65199-84A8-437E-AD55-360C1DF1D788	2002-06-01 00:00:00.000
57	ML Road Handlebars	NULL	02200AA0-C369-4D77-A67C-75973EFDA81B	2002-06-01 00:00:00.000
58	HL Road Handlebars	NULL	2489DDC5-1C89-4DEC-AF22-B0112CCEC467	2002-06-01 00:00:00.000
59	LL Headset	NULL	39AFBBA9-0F6C-44EE-B5E1-32FA93F897E6	2002-06-01 00:00:00.000
60	ML Headset	NULL	6BA9F3B6-E08B-4AC2-A725-B41114C2A283	2002-06-01 00:00:00.000
61	HL Headset	NULL	E196D02E-9BF6-4C67-B772-ED9F86CCF44C	2002-06-01 00:00:00.000
62	LL Mountain Pedal	NULL	8123F7E2-A5F4-4047-B69D-E74313DFEBCE	2003-06-01 00:00:00.000
63	ML Mountain Pedal	NULL	BE9CDC56-F4AB-40F1-B338-2E08E0627ABD	2003-06-01 00:00:00.000
64	HL Mountain Pedal	NULL	8DA73708-8DAE-44AE-AC6C-6E37022C1FFE	2003-06-01 00:00:00.000
65	ML Touring Seat/Saddle	NULL	63A2199F-F5B5-49BD-BCFC-BEC1D1D16D8B	2003-06-01 00:00:00.000
66	LL Touring Seat/Saddle	NULL	4A17C43A-1A55-41BB-BC97-612F47CEDEB3	2005-05-16 16:34:29.043
67	HL Touring Seat/Saddle	NULL	059A2000-7549-4B49-8E0C-2DE6B2771EF4	2005-05-16 16:34:29.043
68	LL Road Pedal	NULL	218B016C-7454-4193-B518-21955C783D72	2003-06-01 00:00:00.000
