ProductModelID	ProductDescriptionID	Culture	rowguid	ModifiedDate
1	1199	en    	9FCBCCBF-56CC-48E5-9BF9-42FC99AF0968	2003-06-01 00:00:00.000
1	1467	ar    	D209DB26-918D-4CC5-9792-DF7C92BE6FD7	2003-06-01 00:00:00.000
1	1589	fr    	D8BADF1E-DA84-4E1B-9CF4-3ED16E128628	2003-06-01 00:00:00.000
1	1712	th    	B414914A-B18B-4C46-BEBB-01A1D741B34E	2003-06-01 00:00:00.000
1	1838	he    	E77D64B9-9FFC-4438-92C1-A539262B5B00	2003-06-01 00:00:00.000
1	1965	zh-cht	996BB0A2-7FE2-4B2D-9ADB-6DD10ACE0C30	2003-06-01 00:00:00.000
2	1210	en    	C6CC17F0-AFE8-4812-98B5-3F200121F513	2003-06-01 00:00:00.000
2	1476	ar    	8CA6BC40-0C37-49B8-AE75-6727ADC17BFA	2003-06-01 00:00:00.000
2	1598	fr    	30DB1064-9B00-4589-8FFD-3163A6ED9C9D	2003-06-01 00:00:00.000
2	1721	th    	56EA10B0-8493-4F29-85DC-4B70E2D720D1	2003-06-01 00:00:00.000
2	1847	he    	6CAE8AFC-ECC8-46E7-B1E4-710A06178363	2003-06-01 00:00:00.000
2	1974	zh-cht	BA7F5EA1-E281-4618-8822-0FD9ECFD8077	2003-06-01 00:00:00.000
3	1195	en    	6C0FE29B-0C3C-4444-A03F-C24FA619EC47	2003-06-01 00:00:00.000
3	1464	ar    	D75940DF-5F4C-4332-BB2C-43DF83F0AA3D	2003-06-01 00:00:00.000
3	1586	fr    	76F7F6DB-356B-486D-ADBF-1CFFF4D80FC6	2003-06-01 00:00:00.000
3	1709	th    	CA97C192-02B8-472B-B4C2-F4E808C4FEED	2003-06-01 00:00:00.000
3	1835	he    	CF6FF071-9D53-4A9D-B0EF-04DBA4AF2E76	2003-06-01 00:00:00.000
3	1961	zh-cht	7D7A3EC6-6D4C-4898-AE9F-DFF32FEF5E93	2003-06-01 00:00:00.000
4	1194	en    	F81050B7-6648-4285-9FAC-E668D43F2D5D	2003-06-01 00:00:00.000
4	1463	ar    	9601BF03-DCBD-4DC5-B418-94DEFD16B56D	2003-06-01 00:00:00.000
4	1585	fr    	B36BC9CF-B1D7-4245-ABB3-E4BB259A2D0E	2003-06-01 00:00:00.000
4	1708	th    	0EE862B2-1F7E-40B6-8D87-A564F0FBE5F8	2003-06-01 00:00:00.000
4	1834	he    	443F697A-41A3-494E-AE7D-CE30EB2F19A8	2003-06-01 00:00:00.000
4	1960	zh-cht	0121E0D3-3A7C-4718-98F7-D85FB107B21D	2003-06-01 00:00:00.000
5	647	en    	8CCB71FF-7F71-41A8-A29B-C4B13009AECD	2003-06-01 00:00:00.000
5	1400	ar    	D2B75933-A80B-4A7F-A113-5239B9EABE33	2003-06-01 00:00:00.000
5	1605	fr    	B3306222-30EF-458B-9A32-DCDEE71F92A5	2003-06-01 00:00:00.000
5	1639	th    	3866837F-18BA-4310-9050-8B78126037D6	2003-06-01 00:00:00.000
5	1768	he    	1CD10278-71B9-4E7B-80A8-E23BF5160225	2003-06-01 00:00:00.000
5	1889	zh-cht	68BA9653-4571-472F-9008-BFD47150B453	2003-06-01 00:00:00.000
6	1090	en    	BA3994DC-D05E-49B1-9A3E-B1AC45625713	2003-06-01 00:00:00.000
6	1451	ar    	E7836236-2929-4612-8697-BF8D48079881	2003-06-01 00:00:00.000
6	1573	fr    	4DCCDC47-B52F-4215-BE4B-0D423FF94901	2003-06-01 00:00:00.000
6	1696	th    	49355CA5-59C9-4151-A59C-30BABB72D5D9	2003-06-01 00:00:00.000
6	1827	he    	930BFCAE-A25D-46B1-94FE-46CCC43A3AA6	2003-06-01 00:00:00.000
6	1948	zh-cht	EE35F2A1-233A-40C8-96DB-9A9D1DA522AC	2003-06-01 00:00:00.000
7	1182	en    	CBE8F99A-6845-4332-A37E-9BE77FBCC2EC	2003-06-01 00:00:00.000
7	1453	ar    	908EA066-9A29-443D-AA6F-F13B6D0EE991	2003-06-01 00:00:00.000
7	1575	fr    	79786C35-3ACB-4336-B00F-651F62DAE0D3	2003-06-01 00:00:00.000
7	1698	th    	384443FD-CB44-4A4F-B77A-FD6191D18F72	2003-06-01 00:00:00.000
7	1829	he    	5AE30DFD-C694-4E9B-B7C1-C09B2BD29BFD	2003-06-01 00:00:00.000
7	1950	zh-cht	A216D6F1-8019-4849-ABFB-7ED9AAD423A1	2003-06-01 00:00:00.000
8	637	en    	A061F3F6-37A8-4CF5-BF6E-B3A87134DD75	2003-06-01 00:00:00.000
8	1397	ar    	BFBF2782-FE9F-4FBE-B2E1-B3336EF4F78D	2003-06-01 00:00:00.000
8	1514	fr    	19368CE5-3F3B-4316-9D60-E665B3131972	2003-06-01 00:00:00.000
8	1636	th    	D6F0DEF3-9C76-4CC4-B87A-F42263A0EA72	2003-06-01 00:00:00.000
8	1759	he    	A6DF19EB-9DEA-4035-A3D9-A625990B9F79	2003-06-01 00:00:00.000
8	1886	zh-cht	29CF6ECD-05E3-41F2-A4E8-741A1FB49AA4	2003-06-01 00:00:00.000
